sell 0.07 | sp 0.5333 | buy 0.13 | bp -0.0333
sell -0.07 | sp -0.5333 | buy -0.30 | bp 0.0000 

sell -0.07 | sp -0.5333 | buy -0.30 | bp 0.0000
sell 0.13 | sp 0.2000 | buy 0.00 | bp 0.0000 

sell 0.27 | sp 0.0000 | buy -7.90 | bp 0.0333
sell -0.30 | sp 0.0000 | buy -0.20 | bp -0.6000 

sell -0.30 | sp 0.0000 | buy -0.20 | bp -0.6000
sell 0.03 | sp -0.8667 | buy -0.13 | bp -0.2667 

sell 0.03 | sp -0.8667 | buy -0.13 | bp -0.2667
sell -0.02 | sp 0.0000 | buy -0.02 | bp 0.0000 

sell 0.00 | sp -0.3667 | buy 0.07 | bp 0.0000
sell 0.05 | sp 0.0000 | buy 0.05 | bp 0.0000 

sell 0.05 | sp 0.0000 | buy 0.05 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy -0.03 | bp 0.0000
sell -0.10 | sp 0.0000 | buy 0.00 | bp 0.0000 

sell 0.30 | sp 0.0667 | buy 0.00 | bp 0.0333
sell 0.93 | sp -0.2000 | buy 0.70 | bp 0.3333 

sell 0.20 | sp 0.4000 | buy 0.37 | bp 0.1333
sell -0.17 | sp 0.2667 | buy -0.37 | bp 6.9333 

sell 0.27 | sp 0.0667 | buy -2.80 | bp 0.0000
sell -0.23 | sp -0.3667 | buy 0.10 | bp 0.0000 

sell -0.43 | sp -0.1000 | buy -0.03 | bp 0.0000
sell -0.23 | sp 0.0000 | buy -0.20 | bp 0.0000 

sell -0.23 | sp 0.0000 | buy -0.20 | bp 0.0000
sell -0.17 | sp 0.3333 | buy 0.03 | bp 0.0000 

sell -0.17 | sp 0.3333 | buy 0.03 | bp 0.0000
sell 0.73 | sp -0.1667 | buy 0.23 | bp 0.0000 

sell 0.73 | sp -0.1667 | buy 0.23 | bp 0.0000
sell -0.73 | sp -0.1667 | buy -0.40 | bp 0.0000 

sell -0.73 | sp -0.1667 | buy -0.40 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.10 | bp 0.0667 

sell 0.00 | sp 0.0000 | buy -0.10 | bp 0.0667
sell 0.03 | sp 0.0000 | buy 0.03 | bp -0.0667 

sell -0.07 | sp 0.0000 | buy -0.30 | bp 0.0000
sell 0.00 | sp 0.0000 | buy 0.00 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy 0.00 | bp 0.0000
sell -0.07 | sp 0.0000 | buy 0.20 | bp 0.0000 

sell 0.03 | sp 0.1000 | buy -3.27 | bp 0.0667
sell -0.03 | sp 0.0000 | buy -0.10 | bp -0.0667 

sell -0.03 | sp 0.0000 | buy -0.10 | bp -0.0667
sell 0.00 | sp -0.1000 | buy 0.03 | bp 0.0000 

sell 0.00 | sp -0.1000 | buy 0.03 | bp 0.0000
sell 0.00 | sp 0.0000 | buy 0.03 | bp 0.0000 

